date, pm25, pm10, no2
2022/2/6, 19, 7, 
2022/2/7, 21, 5, 
2022/2/8, 14, 7, 
2022/2/9, 17, 9, 
2022/2/10, 24, 7, 
2022/2/11, 22, 7, 
2022/2/12, 22, 7, 
2022/2/13, 24, 9, 
2022/2/14, 27, 7, 
2022/2/15, 25, 8, 
2022/2/16, 27, 8, 
2022/2/17, 24, 7, 
2022/2/18, 20, 9, 
2022/2/19, 26, 13, 
2022/2/20, 35, 19, 41
2022/2/21, 39, 14, 29
2022/2/22, 39, 13, 18
2022/2/23, 24, 10, 26
2022/2/24, 28, 9, 9
2022/2/25, 33, 5, 7
2022/2/26, 17, 10, 1
2022/2/27, 24, 20, 19
2022/2/28, 38, 7, 7
2022/3/1, 16, 10, 7
2022/3/2, 26, 8, 11
2022/3/3, 22, 7, 12
2022/3/4, 16, 5, 5
2022/3/5, 14, 7, 11
2022/3/6, 22, 7, 11
2022/3/7, 18, 9, 10
2022/3/8, 23, 7, 4
2022/3/9, 16, 16, 5
2022/3/10, 22, 11, 12
2022/3/11, 28, 16, 22
2022/3/12, 43, 10, 20
2022/3/13, 27, 13, 20
2022/3/14, 25, 12, 24
2022/3/15, 31, 40, 9
2022/3/16, 26, 27, 19
2022/3/17, 29, 11, 10
2022/3/18, 26, 9, 7
2022/3/19, 22, 31, 3
2022/3/20, 41, 35, 4
2022/3/21, 34, 11, 4
2022/3/22, 26, 5, 10
2022/3/23, 14, 8, 13
2022/3/24, 21, 19, 12
2022/3/25, 17, 8, 10
2022/3/26, 26, 6, 9
2022/3/27, 10, 14, 6
2022/3/28, 24, 5, 5
2022/3/29, 21, 6, 7
2022/3/30, 20, 10, 13
2022/3/31, 64, 5, 9
2021/10/12, 52, 7, 11
2021/10/13, 20, 6, 12
2021/10/14, 26, 28, 15
2021/10/15, 26, 21, 16
2021/10/16, 20, 21, 10
2021/10/17, 18, 7, 2
2021/10/18, 21, 8, 10
2021/10/19, 28, 57, 20
2021/10/20, 11, 30, 6
2021/10/21, 17, 13, 3
2021/10/22, 28, 22, 7
2021/10/23, 25, 31, 9
2021/10/24, 27, 9, 14
2021/10/25, 24, 8, 22
2021/10/26, 28, 8, 17
2021/10/27, 17, 14, 10
2021/10/28, 16, 10, 6
2021/10/29, 23, 8, 12
2021/10/30, 29, 10, 18
2021/10/31, 27, 8, 18
2021/11/1, 27, 10, 20
2021/11/2, 25, 29, 9
2021/11/3, 27, 27, 7
2021/11/4, 23, 23, 13
2021/11/5, 16, 20, 15
2021/11/6, 28, 10, 13
2021/11/7, 29, 16, 15
2021/11/8, 29, 9, 17
2021/11/9, 11, 5, 14
2021/11/10, 16, 6, 6
2021/11/11, 21, 7, 11
2021/11/12, 21, 6, 9
2021/11/13, 20, 6, 8
2021/11/14, 21, 8, 10
2021/11/15, 19, 7, 10
2021/11/16, 18, 7, 11
2021/11/17, 19, 6, 17
2021/11/18, 17, 29, 13
2021/11/19, 29, 62, 19
2021/11/20, 21, 8, 5
2021/11/21, 23, 7, 10
2021/11/22, 15, 5, 9
2021/11/23, 16, 5, 7
2021/11/24, 28, 8, 18
2021/11/25, 17, 6, 13
2021/11/26, 37, 13, 25
2021/11/27, 24, 8, 10
2021/11/28, 17, 7, 4
2021/11/29, 17, 6, 9
2021/11/30, 32, 13, 18
2021/12/1, 25, 9, 11
2021/12/2, 26, 9, 13
2021/12/3, 31, 11, 24
2021/12/4, 21, 10, 9
2021/12/5, 21, 11, 3
2021/12/6, 27, 11, 14
2021/12/7, 24, 13, 8
2021/12/8, 22, 10, 10
2021/12/9, 27, 10, 11
2021/12/10, 31, 11, 25
2021/12/11, 39, 12, 14
2021/12/12, 23, 6, 8
2021/12/13, 35, 10, 17
2021/12/14, 23, 7, 18
2021/12/15, 14, 6, 9
2021/12/16, 21, 7, 9
2021/12/17, 18, 6, 11
2021/12/18, 14, 6, 7
2021/12/19, 25, 7, 5
2021/12/20, 28, 8, 20
2021/12/21, 27, 9, 26
2021/12/22, 19, 8, 11
2021/12/23, 20, 8, 10
2021/12/24, 16, 4, 6
2021/12/25, 34, 9, 17
2021/12/26, 28, 7, 10
2021/12/27, 30, 8, 14
2021/12/28, 41, 11, 29
2021/12/29, 33, 9, 24
2021/12/30, 33, 9, 21
2021/12/31, 39, 13, 15
2022/1/1, 42, 16, 17
2022/1/2, 11, 5, 5
2021/7/5, 75, 34, 11
2021/7/6, 53, 34, 14
2021/7/7, 50, 32, 14
2021/7/8, 21, 8, 7
2021/7/9, 20, 14, 5
2021/7/10, 16, 9, 3
2021/7/11, 20, 12, 2
2021/7/12, 27, 17, 9
2021/7/13, 18, 9, 7
2021/7/14, 16, 11, 4
2021/7/15, 21, 16, 9
2021/7/16, 19, 9, 3
2021/7/17, 16, 8, 3
2021/7/18, 19, 9, 2
2021/7/19, 14, 6, 3
2021/7/20, 19, 7, 5
2021/7/21, 16, 11, 5
2021/7/22, 19, 9, 4
2021/7/23, 16, 7, 4
2021/7/24, 17, 7, 3
2021/7/25, 18, 6, 7
2021/7/26, 30, 13, 8
2021/7/27, 26, 16, 9
2021/7/28, 18, 12, 4
2021/7/29, 15, 9, 2
2021/7/30, 20, 12, 3
2021/7/31, 15, 7, 2
2021/8/1, 14, 6, 5
2021/8/2, 17, 6, 4
2021/8/3, 18, 9, 5
2021/8/4, 17, 7, 6
2021/8/5, 20, 11, 7
2021/8/6, 22, 12, 8
2021/8/7, 28, 12, 9
2021/8/8, 27, 13, 12
2021/8/9, 23, 16, 10
2021/8/10, 28, 16, 12
2021/8/11, 21, 9, 8
2021/8/12, 22, 11, 6
2021/8/13, 17, 7, 9
2021/8/14, 14, 6, 4
2021/8/15, 18, 8, 2
2021/8/16, 18, 13, 5
2021/8/17, 19, 16, 7
2021/8/18, 18, 17, 8
2021/8/19, 17, 10, 5
2021/8/20, 19, 6, 5
2021/8/21, 17, 6, 1
2021/8/22, 17, 7, 5
2021/8/23, 21, 12, 9
2021/8/24, 14, 9, 8
2021/8/25, 29, 20, 13
2021/8/26, 28, 19, 12
2021/8/27, 26, 15, 5
2021/8/28, 19, 9, 6
2021/8/29, 25, 11, 7
2021/8/30, 25, 10, 9
2021/8/31, 18, 8, 8
2021/9/1, 18, 7, 8
2021/9/2, 15, 5, 9
2021/9/3, 20, 10, 6
2021/9/4, 17, 6, 7
2021/9/5, 17, 7, 4
2021/9/6, 21, 13, 13
2021/9/7, 30, 10, 13
2021/9/8, 37, 11, 11
2021/4/1, 14, 7, 3
2021/4/2, 18, 4, 2
2021/4/3, 10, 5, 4
2021/4/4, 10, 6, 5
2021/4/5, 16, 8, 3
2021/4/6, 20, 8, 8
2021/4/7, 24, 8, 10
2021/4/8, 21, 28, 13
2021/4/9, 17, 42, 6
2021/4/10, 22, 8, 4
2021/4/11, 26, 7, 10
2021/4/12, 21, 10, 7
2021/4/13, 15, 9, 8
2021/4/14, 22, 7, 7
2021/4/15, 23, 10, 6
2021/4/16, 27, 13, 3
2021/4/17, 21, 35, 5
2021/4/18, 22, 55, 6
2021/4/19, 29, 40, 10
2021/4/20, 39, 12, 10
2021/4/21, 25, 20, 7
2021/4/22, 21, 8, 8
2021/4/23, 21, 19, 5
2021/4/24, 18, 51, 5
2021/4/25, 24, 12, 9
2021/4/26, 18, 24, 8
2021/4/27, 20, 14, 8
2021/4/28, 19, 7, 9
2021/4/29, 17, 6, 5
2021/4/30, 20, 6, 4
2021/5/1, 17, 31, 6
2021/5/2, 21, 73, 8
2021/5/3, 29, 28, 10
2021/5/4, 24, 28, 12
2021/5/5, 25, 29, 9
2021/5/6, 24, 28, 8
2021/5/7, 23, 8, 4
2021/5/8, 17, 9, 2
2021/5/9, 18, 25, 6
2021/5/10, 25, 31, 12
2021/5/11, 28, 28, 12
2021/5/12, 26, 16, 2
2021/5/13, 22, 25, 3
2021/5/14, 18, 20, 4
2021/5/15, 19, 16, 4
2021/5/16, 19, 19, 7
2021/5/17, 23, 26, 11
2021/5/18, 22, 27, 10
2021/5/19, 27, 21, 13
2021/5/20, 25, 24, 4
2021/5/21, 19, 24, 1
2021/5/22, 18, 12, 3
2021/5/23, 19, 12, 4
2021/5/24, 22, 22, 4
2021/5/25, 24, 19, 4
2021/5/26, 21, 19, 8
2021/5/27, 24, 13, 6
2021/5/28, 28, 17, 4
2021/5/29, 26, 10, 3
2021/5/30, 17, 21, 8
2021/5/31, 29, 21, 10
2021/6/1, 26, 24, 14
2021/6/2, 28, 29, 10
2021/6/3, 37, 29, 9
2021/6/4, 35, 11, 4
2021/6/5, 24, 13, 3
2021/6/6, 32, 28, 11
2021/6/7, 35, 29, 9
2021/6/8, 33, 20, 9
2021/6/9, 28, 16, 7
2021/6/10, 26, 14, 9
2021/6/11, 28, 5, 6
2021/6/12, 16, 9, 6
2021/6/13, 21, 13, 4
2021/6/14, 14, 14, 6
2021/6/15, 21, 7, 6
2021/6/16, 20, 13, 9
2021/6/17, 26, 17, 8
2021/6/18, 28, 13, 4
2021/6/19, 22, 11, 6
2021/6/20, 19, 23, 14
2021/6/21, 29, 11, 8
2021/6/22, 25, 28, 11
2021/6/23, 26, 21, 8
2021/6/24, 30, 14, 6
2021/6/25, 25, 8, 6
2021/6/26, 19, 12, 3
2021/6/27, 22, 15, 6
2021/6/28, 33, 10, 5
2021/6/29, 19, 8, 2
2021/6/30, 15, , 
2021/1/4, 18, 5, 4
2021/1/5, 13, 5, 7
2021/1/6, 15, 41, 9
2021/1/7, 19, 32, 4
2021/1/8, 21, 37, 15
2021/1/9, 32, 21, 5
2021/1/10, 22, 32, 10
2021/1/11, 27, 32, 17
2021/1/12, 38, 18, 10
2021/1/13, 24, 9, 6
2021/1/14, 21, 9, 17
2021/1/15, 24, 4, 5
2021/1/16, 13, 4, 4
2021/1/17, 13, 6, 11
2021/1/18, 19, 9, 19
2021/1/19, 27, 16, 14
2021/1/20, 22, 30, 11
2021/1/21, 22, 24, 6
2021/1/22, 18, , 
2021/2/16, 40, 13, 
2021/2/17, 33, 17, 
2021/2/18, 40, 10, 
2021/2/19, 20, 13, 
2021/2/20, 24, 16, 
2021/2/21, 30, 10, 
2021/2/22, 29, 10, 
2021/2/23, 26, 7, 
2021/2/24, 19, 8, 
2021/2/25, 20, 10, 
2021/2/26, 28, 4, 
2021/2/27, 12, 8, 
2021/2/28, 19, 11, 
2021/3/1, 23, 7, 
2021/3/2, 19, 7, 
2021/3/3, 20, 8, 21
2021/3/4, 24, 8, 10
2021/3/5, 31, 9, 6
2021/3/6, 20, 12, 11
2021/3/7, 26, 15, 25
2021/3/8, 28, 11, 16
2021/3/9, 17, 15, 14
2021/3/10, 16, 11, 10
2021/3/11, 16, 13, 19
2021/3/12, 30, 10, 11
2021/3/13, 34, 7, 8
2021/3/14, 21, 10, 17
2021/3/15, 30, 14, 10
2021/3/16, 27, 29, 10
2021/3/17, 25, 21, 13
2021/3/18, 25, 17, 4
2021/3/19, 16, 10, 6
2021/3/20, 18, 8, 7
2021/3/21, 21, 6, 7
2021/3/22, 14, 13, 5
2021/3/23, 24, 6, 9
2021/3/24, 12, 10, 14
2021/3/25, 28, 8, 12
2021/3/26, 18, 8, 11
2021/3/27, 21, 7, 7
2021/3/28, 17, 10, 20
2021/3/29, 19, 10, 20
2021/3/30, 27, 9, 13
2021/3/31, 23, 5, 4
2020/10/1, 48, 36, 18
2020/10/2, 40, 31, 18
2020/10/3, 39, 47, 15
2020/10/4, 55, 52, 25
2020/10/5, 58, 28, 8
2020/10/6, 22, 41, 17
2020/10/7, 26, 54, 17
2020/10/8, 32, 31, 20
2020/10/9, 26, 6, 9
2020/10/10, 18, 14, 9
2020/10/11, 21, 16, 8
2020/10/12, 16, 40, 15
2020/10/13, 25, 7, 12
2020/10/14, 17, 8, 21
2020/10/15, 23, 4, 15
2020/10/16, 12, 7, 4
2020/10/17, 14, 7, 9
2020/10/18, 21, 34, 21
2020/10/19, 32, 31, 24
2020/10/20, 32, 15, 26
2020/10/21, 24, 18, 20
2020/10/22, 22, 7, 15
2020/10/23, 22, 10, 8
2020/10/24, 28, 6, 12
2020/10/25, 19, 16, 8
2020/10/26, 18, 30, 17
2020/10/27, 26, 11, 19
2020/10/28, 28, 11, 18
2020/10/29, 27, 10, 21
2020/10/30, 29, 7, 5
2020/10/31, 17, 6, 11
2020/11/1, 17, 4, 9
2020/11/2, 10, 10, 7
2020/11/3, 23, 14, 7
2020/11/4, 15, 9, 
2020/11/5, 23, 16, 
2020/11/6, 28, 11, 
2020/11/7, 24, 7, 
2020/11/8, 17, 13, 
2020/11/9, 28, 25, 
2020/11/10, 30, 23, 
2020/11/11, 28, 13, 
2020/11/12, 25, 17, 
2020/11/13, 30, 16, 
2020/11/14, 16, 11, 
2020/11/15, 16, 11, 
2020/11/16, 26, 19, 
2020/11/17, 12, 8, 
2020/11/18, 18, 16, 
2020/11/19, 20, 9, 
2020/11/20, 27, 4, 
2020/11/21, 10, 10, 
2020/11/22, 34, 9, 
2020/11/23, 26, 11, 
2020/11/24, 28, 9, 
2020/11/25, 26, 8, 
2020/11/26, 26, 8, 
2020/11/27, 19, 9, 
2020/11/28, 20, 5, 
2020/11/29, 14, 53, 
2020/11/30, 14, 12, 18
2020/12/1, 25, 6, 6
2020/12/2, 14, 11, 5
2020/12/3, 19, 48, 22
2020/12/4, 40, 8, 5
2020/12/5, 20, 14, 16
2020/12/6, 36, 12, 23
2020/12/7, 36, 10, 22
2020/12/8, 33, 9, 6
2020/12/9, 22, 7, 7
2020/12/10, 21, 8, 17
2020/12/11, 25, 6, 7
2020/12/12, 16, 12, 15
2020/12/13, 28, 15, 16
2020/12/14, 21, 7, 15
2020/12/15, 23, 6, 6
2020/12/16, 17, 10, 12
2020/12/17, 17, 19, 19
2020/12/18, 24, 13, 23
2020/12/19, 36, 5, 8
2020/12/20, 14, 7, 8
2020/12/21, 16, 14, 24
2020/12/22, 31, 11, 18
2020/12/23, 23, 9, 13
2020/12/24, 26, 19, 1
2020/12/25, 15, 30, 2
2020/12/26, 18, 24, 2
2020/12/27, 18, 25, 6
2020/12/28, 25, 32, 15
2020/12/29, 29, 19, 23
2020/12/30, 37, 16, 15
2020/12/31, 43, 18, 14
2021/1/1, 44, 7, 5
2021/1/2, 20, 6, 4
2021/1/3, 20, 7, 5
2020/7/1, 17, 6, 8
2020/7/2, 19, 10, 4
2020/7/3, 18, 8, 6
2020/7/4, 19, 9, 4
2020/7/5, 16, 15, 6
2020/7/6, 19, 13, 6
2020/7/7, 23, 22, 9
2020/7/8, 23, 26, 11
2020/7/9, 29, 17, 9
2020/7/10, 21, 11, 5
2020/7/11, 21, 13, 7
2020/7/12, 25, 17, 8
2020/7/13, 24, 22, 8
2020/7/14, 26, 18, 9
2020/7/15, 26, 18, 8
2020/7/16, 29, 23, 12
2020/7/17, 33, 9, 4
2020/7/18, 16, 15, 7
2020/7/19, 26, 15, 10
2020/7/20, 27, 6, 11
2020/7/21, 18, 6, 9
2020/7/22, 17, 5, 7
2020/7/23, 14, 14, 8
2020/7/24, 22, 10, 4
2020/7/25, 20, 11, 4
2020/7/26, 21, 18, 9
2020/7/27, 26, 22, 14
2020/7/28, 33, 24, 17
2020/7/29, 34, 25, 13
2020/7/30, 39, 18, 5
2020/7/31, 30, 6, 2
2020/8/1, 13, 10, 6
2020/8/2, 20, 25, 11
2020/8/3, 33, 18, 10
2020/8/4, 31, 18, 11
2020/8/5, 22, 20, 10
2020/8/6, 29, 15, 6
2020/8/7, 22, 15, 9
2020/8/8, 23, 11, 4
2020/8/9, 23, 9, 8
2020/8/10, 22, 24, 10
2020/8/11, 23, 28, 11
2020/8/12, 28, 23, 11
2020/8/13, 28, 8, 6
2020/8/14, 17, 7, 5
2020/8/15, 16, 10, 6
2020/8/16, 22, 11, 10
2020/8/17, 22, 8, 10
2020/8/18, 19, 19, 8
2020/8/19, 24, 20, 11
2020/8/20, 20, 26, 12
2020/8/21, 22, 16, 13
2020/8/22, 31, 11, 11
2020/8/23, 24, 10, 10
2020/8/24, 18, 7, 7
2020/8/25, 16, 20, 9
2020/8/26, 19, 7, 10
2020/8/27, 18, 9, 9
2020/8/28, 18, 10, 7
2020/8/29, 19, 11, 5
2020/8/30, 19, 17, 6
2020/8/31, 19, 8, 12
2020/9/1, 22, 23, 12
2020/9/2, 25, 31, 16
2020/9/3, 30, 28, 19
2020/9/4, 37, 9, 7
2020/9/5, 19, 9, 6
2020/9/6, 22, 18, 11
2020/9/7, 19, 13, 13
2020/9/8, 21, 14, 9
2020/9/9, 31, 13, 8
2020/9/10, 26, 10, 10
2020/9/11, 21, 8, 11
2020/9/12, 22, 17, 14
2020/9/13, 30, 13, 14
2020/9/14, 25, 9, 13
2020/9/15, 22, 12, 10
2020/9/16, 21, 14, 8
2020/9/17, 12, 8, 7
2020/9/18, 20, 6, 5
2020/9/19, 17, 6, 3
2020/9/20, 14, 7, 8
2020/9/21, 13, 9, 5
2020/9/22, 22, 11, 14
2020/9/23, 20, 17, 11
2020/9/24, 26, 19, 14
2020/9/25, 27, 8, 9
2020/9/26, 25, 15, 12
2020/9/27, 20, 39, 24
2020/9/28, 34, 32, 17
2020/9/29, 44, 38, 18
2020/9/30, 50, 43, 17
2020/4/1, 23, 10, 13
2020/4/2, 15, 36, 13
2020/4/3, 47, 10, 4
2020/4/4, 32, 7, 2
2020/4/5, 23, 9, 18
2020/4/6, 26, 11, 8
2020/4/7, 27, 6, 5
2020/4/8, 15, 9, 2
2020/4/9, 23, 6, 4
2020/4/10, 18, 6, 4
2020/4/11, 17, 4, 4
2020/4/12, 13, 7, 3
2020/4/13, 22, 9, 10
2020/4/14, 18, 8, 6
2020/4/15, 21, 8, 8
2020/4/16, 21, 10, 9
2020/4/17, 24, 8, 5
2020/4/18, 22, 7, 6
2020/4/19, 20, 20, 7
2020/4/20, 35, 29, 8
2020/4/21, 32, 60, 9
2020/4/22, 34, 7, 11
2020/4/23, 15, 37, 5
2020/4/24, 24, 11, 2
2020/4/25, 22, 7, 2
2020/4/26, 19, 19, 8
2020/4/27, 21, 83, 6
2020/4/28, 27, 41, 6
2020/4/29, 23, 39, 9
2020/4/30, 26, 27, 7
2020/5/1, 26, 17, 5
2020/5/2, 23, 25, 8
2020/5/3, 22, 25, 12
2020/5/4, 24, 36, 4
2020/5/5, 13, 14, 6
2020/5/6, 18, 11, 8
2020/5/7, 22, 13, 7
2020/5/8, 18, 39, 1
2020/5/9, 20, 51, 2
2020/5/10, 23, 8, 7
2020/5/11, 18, 9, 6
2020/5/12, 21, 49, 6
2020/5/13, 25, 38, 6
2020/5/14, 18, 7, 3
2020/5/15, 15, 23, 4
2020/5/16, 20, 9, 5
2020/5/17, 20, 20, 6
2020/5/18, 19, 28, 7
2020/5/19, 23, 30, 9
2020/5/20, 25, 23, 4
2020/5/21, 22, 40, 11
2020/5/22, 23, 32, 9
2020/5/23, 24, 34, 8
2020/5/24, 26, 44, 10
2020/5/25, 31, 28, 12
2020/5/26, 20, 30, 6
2020/5/27, 23, 7, 6
2020/5/28, 18, 10, 10
2020/5/29, 25, 21, 4
2020/5/30, 19, 26, 3
2020/5/31, 21, 28, 6
2020/6/1, 22, 27, 11
2020/6/2, 25, 21, 6
2020/6/3, 17, 31, 11
2020/6/4, 23, 38, 11
2020/6/5, 29, 14, 4
2020/6/6, 18, 13, 7
2020/6/7, 17, 19, 4
2020/6/8, 21, 17, 5
2020/6/9, 20, 22, 7
2020/6/10, 22, 18, 5
2020/6/11, 21, 21, 5
2020/6/12, 21, 16, 7
2020/6/13, 22, 15, 4
2020/6/14, 25, 23, 5
2020/6/15, 23, 15, 5
2020/6/16, 21, 30, 8
2020/6/17, 24, 22, 5
2020/6/18, 24, 14, 5
2020/6/19, 18, 15, 5
2020/6/20, 21, 18, 4
2020/6/21, 25, 31, 9
2020/6/22, 26, 29, 8
2020/6/23, 35, 20, 7
2020/6/24, 28, 18, 8
2020/6/25, 29, 10, 6
2020/6/26, 23, 10, 2
2020/6/27, 18, 9, 1
2020/6/28, 16, 15, 3
2020/6/29, 16, 24, 2
2020/6/30, 11, 7, 8
2020/1/1, 28, 8, 10
2020/1/2, 17, 6, 9
2020/1/3, 16, 12, 7
2020/1/4, 36, 7, 10
2020/1/5, 16, 8, 14
2020/1/6, 21, 8, 9
2020/1/7, 15, 8, 7
2020/1/8, 15, 18, 5
2020/1/9, 30, 11, 12
2020/1/10, 24, 6, 12
2020/1/11, 12, 9, 6
2020/1/12, 21, 8, 10
2020/1/13, 20, 7, 13
2020/1/14, 17, 10, 24
2020/1/15, 32, 11, 26
2020/1/16, 33, 12, 20
2020/1/17, 29, 14, 25
2020/1/18, 38, 7, 7
2020/1/19, 21, 8, 11
2020/1/20, 16, 10, 15
2020/1/21, 24, 11, 16
2020/1/22, 28, 5, 12
2020/1/23, 12, 8, 14
2020/1/24, 21, 8, 5
2020/1/25, 21, 14, 18
2020/1/26, 37, 13, 25
2020/1/27, 27, 11, 16
2020/1/28, 22, 17, 11
2020/1/29, 27, 11, 18
2020/1/30, 25, 11, 6
2020/1/31, 20, 8, 4
2020/2/1, 17, 8, 5
2020/2/2, 26, 9, 18
2020/2/3, 24, 6, 12
2020/2/4, 16, 8, 10
2020/2/5, 19, 11, 14
2020/2/6, 31, 12, 14
2020/2/7, 24, 6, 12
2020/2/8, 15, 6, 17
2020/2/9, 15, 7, 24
2020/2/10, 21, 9, 17
2020/2/11, 27, 9, 14
2020/2/12, 24, 9, 13
2020/2/13, 25, 8, 11
2020/2/14, 24, 13, 25
2020/2/15, 33, 6, 15
2020/2/16, 16, 13, 21
2020/2/17, 28, 11, 15
2020/2/18, 27, 11, 17
2020/2/19, 25, 8, 11
2020/2/20, 12, 6, 13
2020/2/21, 15, 8, 17
2020/2/22, 21, 7, 9
2020/2/23, 21, 8, 14
2020/2/24, 25, 7, 13
2020/2/25, 20, 7, 10
2020/2/26, 17, 10, 14
2020/2/27, 19, 9, 10
2020/2/28, 18, 7, 4
2020/2/29, 18, 12, 14
2020/3/1, 24, 12, 12
2020/3/2, 28, 21, 38
2020/3/3, 38, 12, 14
2020/3/4, 17, 8, 14
2020/3/5, 17, 6, 10
2020/3/6, 20, 6, 7
2020/3/7, 17, 6, 14
2020/3/8, 18, 7, 13
2020/3/9, 18, 11, 5
2020/3/10, 21, 22, 17
2020/3/11, 21, 6, 7
2020/3/12, 16, 8, 8
2020/3/13, 24, 7, 5
2020/3/14, 20, 9, 11
2020/3/15, 23, 14, 6
2020/3/16, 27, 7, 11
2020/3/17, 16, 7, 6
2020/3/18, 20, 10, 6
2020/3/19, 28, 8, 11
2020/3/20, 24, 7, 3
2020/3/21, 17, 6, 1
2020/3/22, 14, 6, 5
2020/3/23, 14, 8, 4
2020/3/24, 18, 8, 7
2020/3/25, 22, 7, 4
2020/3/26, 17, 10, 5
2020/3/27, 20, 9, 3
2020/3/28, 22, 6, 2
2020/3/29, 15, , 
2019/10/1, 18, 8, 
2019/10/2, 35, 34, 10
2019/10/3, 33, 43, 16
2019/10/4, 28, 45, 14
2019/10/5, 23, 7, 11
2019/10/6, 17, 7, 6
2019/10/7, 23, 47, 18
2019/10/8, 27, 70, 20
2019/10/9, 39, 21, 17
2019/10/10, 28, 50, 18
2019/10/11, 39, 41, 15
2019/10/12, 32, 35, 18
2019/10/13, 37, 34, 22
2019/10/14, 33, 32, 24
2019/10/15, 35, 16, 22
2019/10/16, 31, 20, 20
2019/10/17, 23, 12, 12
2019/10/18, 22, 9, 16
2019/10/19, 29, 12, 8
2019/10/20, 16, 10, 20
2019/10/21, 24, 9, 20
2019/10/22, 24, 8, 13
2019/10/23, 25, 7, 22
2019/10/24, 20, 5, 6
2019/10/25, 15, 38, 8
2019/10/26, 24, 77, 20
2019/10/27, 40, 13, 15
2019/10/28, 27, 8, 18
2019/10/29, 26, 10, 24
2019/10/30, 25, 7, 12
2019/10/31, 19, 6, 13
2019/11/1, 16, 6, 5
2019/11/2, 14, 10, 16
2019/11/3, 29, 6, 13
2019/11/4, 19, 7, 13
2019/11/5, 21, 8, 20
2019/11/6, 24, 16, 36
2019/11/7, 53, 18, 38
2019/11/8, 52, 15, 26
2019/11/9, 45, 9, 17
2019/11/10, 29, 14, 31
2019/11/11, 37, 11, 28
2019/11/12, 28, 9, 13
2019/11/13, 22, 12, 25
2019/11/14, 34, 7, 12
2019/11/15, 21, 11, 23
2019/11/16, 34, 8, 15
2019/11/17, 23, 9, 21
2019/11/18, 24, 10, 24
2019/11/19, 28, 9, 18
2019/11/20, 23, 8, 11
2019/11/21, 17, 10, 25
2019/11/22, 28, 7, 12
2019/11/23, 19, 7, 10
2019/11/24, 19, 7, 16
2019/11/25, 18, 7, 19
2019/11/26, 19, 7, 22
2019/11/27, 17, 6, 19
2019/11/28, 19, 8, 21
2019/11/29, 25, 10, 6
2019/12/3, 54, 7, 10
2019/12/4, 35, 8, 16
2019/12/5, 25, 14, 32
2019/12/6, 38, 11, 26
2019/12/7, 32, 8, 11
2019/12/8, 19, 12, 19
2019/12/9, 28, 8, 16
2019/12/10, 22, 5, 9
2019/12/11, 14, 10, 21
2019/12/12, 23, 11, 28
2019/12/13, 29, 7, 17
2019/12/14, 24, 12, 27
2019/12/15, 36, 11, 25
2019/12/16, 32, 6, 14
2019/12/17, 20, 7, 15
2019/12/18, 24, 10, 21
2019/12/19, 23, 6, 12
2019/12/20, 14, 8, 14
2019/12/21, 21, 9, 20
2019/12/22, 25, 8, 11
2019/12/23, 24, 6, 3
2019/12/24, 21, 11, 5
2019/12/25, 23, 31, 13
2019/12/26, 28, 24, 4
2019/12/27, 16, 11, 5
2019/12/28, 10, 6, 9
2019/12/29, 12, , 
2019/7/22, 30, 19, 16
2019/7/23, 30, 23, 12
2019/7/24, 24, 15, 13
2019/7/25, 25, 20, 12
2019/7/26, 29, 15, 8
2019/7/27, 19, 11, 3
2019/7/28, 16, 11, 2
2019/7/29, 18, 28, 1
2019/7/30, 14, 14, 2
2019/7/31, 19, 15, 7
2019/8/1, 22, 15, 
2019/8/2, 31, 20, 
2019/8/3, 23, 12, 
2019/8/4, 20, 11, 
2019/8/5, 22, 16, 
2019/8/6, 22, 24, 
2019/8/7, 26, 22, 
2019/8/8, 25, 19, 
2019/8/9, 26, 21, 
2019/8/10, 23, 14, 
2019/8/11, 31, 15, 
2019/8/12, 34, 25, 
2019/8/13, 25, 20, 
2019/8/14, 24, 20, 
2019/8/15, 22, 11, 
2019/8/16, 20, 12, 
2019/8/17, 21, 10, 
2019/8/18, 30, 15, 
2019/8/19, 25, 10, 
2019/8/20, 28, 22, 
2019/8/21, 32, 24, 
2019/8/22, 21, 22, 
2019/8/23, 21, 17, 
2019/8/24, 17, 10, 
2019/8/25, 21, 10, 
2019/8/26, 29, 16, 
2019/8/27, 42, 34, 24
2019/8/28, 42, 42, 20
2019/8/29, 57, 46, 30
2019/8/30, 28, 11, 22
2019/8/31, 25, 14, 15
2019/9/1, 24, 19, 11
2019/9/2, 22, 17, 12
2019/9/3, 18, 17, 10
2019/9/4, 18, 9, 8
2019/9/5, 20, 14, 14
2019/9/6, 24, 8, 13
2019/9/7, 23, 8, 10
2019/9/8, 20, 9, 7
2019/9/9, 26, 28, 14
2019/9/10, 34, 32, 17
2019/9/11, 36, 25, 15
2019/9/12, 31, 13, 16
2019/9/13, 21, 8, 11
2019/9/14, 16, 6, 7
2019/9/15, 19, 13, 11
2019/9/16, 29, 28, 14
2019/9/17, 26, 24, 13
2019/9/18, 19, 14, 8
2019/9/19, 21, 7, 13
2019/9/20, 20, 8, 15
2019/9/21, 21, 6, 11
2019/9/22, 22, 7, 9
2019/9/23, 26, 24, 18
2019/9/24, 22, 26, 14
2019/9/25, 22, 8, 11
2019/9/26, 27, 9, 22
2019/9/27, 33, 24, 23
2019/9/28, 23, 17, 13
